Topic,Word,POS,IPA,Pinyin,Meaning,Example,Translation,ImageURL
Đồ dùng học tập,Watercolour,n,/ˈwɔː.təˌkʌl.ər/,shuǐ cǎi,Màu nước,I paint with watercolour in art class.,Tôi vẽ bằng màu nước trong lớp mỹ thuật.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162365/watercolour_n7panx.png
Đồ dùng học tập,Thumbtack,n,/ˈθʌm.tæk/,dìng zhēn,Đinh ghim,I use a thumbtack to pin papers on the board.,Tôi dùng ghim để gắn giấy lên bảng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162364/Thumbtack_gly2qn.png
Đồ dùng học tập,Textbook,n,/ˈtekst.bʊk/,jiào kè shū,Sách giáo khoa,I read my English textbook every day.,Tôi đọc sách giáo khoa tiếng Anh mỗi ngày.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162364/Textbook_z2ddsa.png
Đồ dùng học tập,Test Tube,n. phr,/ˈtest ˌtjuːb/,shí yàn guǎn,Ống nghiệm,The student puts water in the test tube.,Học sinh đổ nước vào ống nghiệm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162363/test_tube_gb7n1v.png
Đồ dùng học tập,Tape measure,n. phr,/ˈteɪp ˌmeʒ.ər/,juǎn chǐ,Thước dây,I use a tape measure to check the length.,Tôi dùng thước dây để đo chiều dài.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162365/Tape_measure_nf0gzp.png
Đồ dùng học tập,Stencil,n,/ˈsten.səl/,mó bǎn,Giấy nến,I draw shapes with a stencil.,Tôi vẽ hình bằng khuôn mẫu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162364/Stencil_hewuvb.png
Đồ dùng học tập,Stapler,n,/ˈsteɪ.plər/,dìng shū jī,Đồ dập ghim,I use a stapler to join papers together.,Tôi dùng bấm kim để ghim các tờ giấy lại với nhau.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162365/Stapler_ews9ds.png
Đồ dùng học tập,Staple remover,n. phr,/ˈsteɪ.plər rɪˈmuː.vər/,qǔ dìng qì,Cái gỡ ghim bấm,I use a staple remover to pull out staples.,Tôi dùng gỡ ghim để tháo kim ra.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162363/Staple_remover_xj6geq.png
Đồ dùng học tập,Set Square,n. phr,/ˈset ˌskweər/,zhǐ jiǎo bǎn,Ê-ke,I draw perfect angles with a set square.,Tôi vẽ góc chuẩn bằng ê ke.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162365/Set_square_widvhl.png
Đồ dùng học tập,Scotch Tape,n. phr,/ˌskɒtʃ ˈteɪp/,jiāo dài,Băng dính trong suốt,I stick the paper with Scotch Tape.,Tôi dán giấy bằng băng keo trong.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759162363/Scotch_Tape_wjstow.png
Đồ dùng học tập,Scissors,n,/ˈsɪz.əz/,jiǎn dāo,Kéo,I cut paper with scissors.,Tôi cắt giấy bằng kéo.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165267/Scissors_bwhk0j.png
Đồ dùng học tập,Ruler,n,/ˈruː.lər/,chǐ,Thước,I use a ruler to draw straight lines.,Tôi dùng thước kẻ để vẽ đường thẳng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165817/Ruler_ln1jpq.png
Đồ dùng học tập,Ribbon,n,/ˈrɪb.ən/,dài zi,Ruy-băng,I tie my notebook with a ribbon.,Tôi buộc quyển vở bằng sợi ruy băng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165816/Ribbon_qjdwsc.png
Đồ dùng học tập,Protractor,n,/prəˈtræk.tər/,jiǎo dù qì,Thước đo góc,I use a protractor to measure angles.,Tôi dùng thước đo góc để đo các góc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165816/RibbonProtractor_srzr9n.png
Đồ dùng học tập,Post-it note,n. phr,/ˈpəʊst.ɪt ˌnəʊt/,tiē zhǐ,Giấy nhớ,I write reminders on a Post-it note.,Tôi viết ghi chú lên giấy nhớ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165815/Post-it-note_pkeufu.png
Đồ dùng học tập,Pin,n,/pɪn/,zhēn,"Đinh ghim, kẹp",I use a pin to hang pictures.,Tôi dùng ghim để treo hình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165813/Pin_wy6h0e.png
Đồ dùng học tập,Pencil,n,/ˈpen.səl/,qiān bǐ,Bút chì,I write with a pencil.,Tôi viết bằng bút chì.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165812/Pencil_mdystp.png
Đồ dùng học tập,Pencil Sharpener,n. phr,/ˈpen.səl ˌʃɑː.pən.ər/,juǎn bǐ dāo,Đồ gọt bút chì,I use a sharpener for my pencil.,Tôi dùng đồ gọt để gọt bút chì.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165812/Pencil-Sharpener_x2kwxe.png
Đồ dùng học tập,Pencil Case,n. phr,/ˈpen.səl ˌkeɪs/,bǐ hé,Hộp bút,My pencil case is full of pens.,Hộp bút của tôi đầy bút viết.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165811/Pencil-Case_q4axtq.png
Đồ dùng học tập,Pen,n,/pen/,bǐ,Bút mực,She writes her name with a pen.,Cô ấy viết tên của mình bằng bút mực.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165810/Pen_evpocl.png
